#LBA time[ms], KF opt[#], KF fixed[#], MP[#], Edges[#]
3.846192,16800,711,8103,8103
4.276092,16830,714,8125,8125
4.357706,16869,717,8148,8148
3.225911,16908,720,8172,8172
10.727111,16947,723,8197,8197
2.447902,16977,726,8223,8223
3.126858,17007,729,8250,8250
3.155482,17037,732,8286,8286
3.220330,17067,735,8323,8323
2.822157,17097,738,8361,8361
3.693166,17127,741,8383,8383
5.622941,17151,744,8406,8406
5.473099,17175,747,8430,8430
5.654144,17199,750,8455,8455
4.604707,17205,753,8481,8481
3.123912,17211,756,8508,8508
3.182427,17217,759,8545,8545
4.773887,17223,762,8583,8583
4.363694,17229,765,8622,8622
7.474011,17235,768,8745,8745
3.507747,0,771,0,771
2.705265,0,0,0,0
3.644913,69,69,85,69
2.698460,0,0,0,0
2.627461,1,0,0,0
2.416731,32578,32578,32578,32578
3.278604,504100832,506228144,489421200,496643152
2.637666,32578,32578,32578,32578
4.821926,496817088,0,0,0
3.936626,32578,0,0,0
5.002857,496860064,0,0,0
4.616013,32578,0,0,0
5.338560,107082,82820,20153,106067
6.053013,21931,45,45,1094784172
5.204231,311950049,1593944588,480306224,-1476658784
6.448258,1062075065,1062506088,32578,1062357699
5.938681,64,78,480306232,71104801
6.215453,0,85,32578,1094787048
7.089461,69,69,480306232,69
6.285116,0,0,32578,0
4.775323,0,0,136,1
4.527428,32578,32578,153,32578
4.415383,498787152,506224640,85,477644080
5.920206,32578,32578,0,32578
4.322012,0,0,213,497682576
4.254260,0,0,296,32578
4.620301,0,0,306,496718032
4.734683,0,0,308,32578
6.350017,-1060444832,121040,368,70730
