#Image Rect[ms], Image Resize[ms], ORB ext[ms], Stereo match[ms], IMU preint[ms], Pose pred[ms], LM track[ms], KF dec[ms], Total[ms]
0.000000,0.000000,23.014312,0.000000,0.039036,4.501934,3.298118,0.000525,91.786324
0.000000,0.000000,9.828719,0.000000,0.037714,0.655557,3.129087,0.000759,15.477119
0.000000,0.000000,29.256821,0.000000,0.036856,0.539989,3.748941,0.000528,61.087567
0.000000,0.000000,37.716303,0.000000,0.039318,0.455662,4.379244,0.000409,108.584296
0.000000,0.000000,14.790906,0.000000,0.036599,4.039339,1.822356,0.000337,25.188925
0.000000,0.000000,9.366422,0.000000,0.034817,0.697264,2.375587,0.001006,15.082078
0.000000,0.000000,9.510169,0.000000,0.034786,0.572831,2.525016,0.000521,14.762965
0.000000,0.000000,10.173132,0.000000,0.034974,0.462162,2.280246,0.000282,15.008841
0.000000,0.000000,9.831379,0.000000,0.051114,0.309726,2.405499,0.061635,14.138065
0.000000,0.000000,23.595993,0.000000,0.041967,3.904814,1.083458,0.000313,53.348059
0.000000,0.000000,23.162092,0.000000,0.040142,0.403766,4.173570,0.000485,56.935355
0.000000,0.000000,25.040936,0.000000,0.068538,0.429282,4.314710,0.000501,56.833420
0.000000,0.000000,35.858671,0.000000,0.042151,0.379376,4.524128,0.000409,68.708597
0.000000,0.000000,23.256812,0.000000,0.043544,6.354906,3.542792,0.000658,92.528610
0.000000,0.000000,15.211674,0.000000,0.038148,1.173605,5.258617,0.000362,22.628043
0.000000,0.000000,9.846960,0.000000,0.034078,0.955008,4.179409,0.000756,12.314108
0.000000,0.000000,25.694220,0.000000,0.037861,1.125007,4.276178,0.000515,47.965059
0.000000,0.000000,34.208731,0.000000,0.038099,1.263529,4.700060,0.068113,102.146000
0.000000,0.000000,8.764606,0.000000,0.030007,0.905685,1.760588,0.000361,15.570250
0.000000,0.000000,9.453293,0.000000,0.034991,1.009970,1.677341,0.000446,16.184222
0.000000,0.000000,12.394537,0.000000,0.055244,8.076739,1.602275,0.000586,20.867508
0.000000,0.000000,21.681491,0.000000,0.041154,0.844020,1.670411,0.000302,47.311629
0.000000,0.000000,21.123013,0.000000,0.038774,0.829246,1.754013,0.000410,84.357677
0.000000,0.000000,16.236188,0.000000,0.030052,0.769816,1.813637,0.081627,26.972881
0.000000,0.000000,9.546980,0.000000,0.033946,0.700008,2.326752,0.000375,16.342548
0.000000,0.000000,9.707239,0.000000,0.043496,1.145241,2.486228,0.000273,15.998668
0.000000,0.000000,9.312227,0.000000,0.031887,1.151462,3.024420,0.000428,15.707705
0.000000,0.000000,20.716005,0.000000,0.034832,1.938388,2.649847,0.000507,29.757072
0.000000,0.000000,14.310453,0.000000,0.033385,1.369194,1.864804,0.000289,19.290297
0.000000,0.000000,19.298390,0.000000,0.047039,1.133195,1.801761,0.066903,23.784828
0.000000,0.000000,8.960040,0.000000,0.045970,0.932642,2.520328,0.000464,11.607435
0.000000,0.000000,29.795748,0.000000,0.035886,1.295156,1.972998,0.000272,55.888747
0.000000,0.000000,21.742409,0.000000,0.038196,1.697694,2.106627,0.000606,88.827782
0.000000,0.000000,9.140523,0.000000,0.030948,1.360880,2.054117,0.000336,16.181297
0.000000,0.000000,17.447504,0.000000,0.032949,1.283082,1.921020,0.077537,28.141321
0.000000,0.000000,9.093971,0.000000,0.033357,1.721100,1.932264,0.000362,16.901019
0.000000,0.000000,9.358241,0.000000,0.033505,1.450676,1.972031,0.000187,15.383823
0.000000,0.000000,32.007230,0.000000,0.040183,3.025442,2.104087,0.000281,94.940575
0.000000,0.000000,24.871081,0.000000,0.040006,1.527433,4.462089,0.000427,55.719951
0.000000,0.000000,23.032636,0.000000,0.040404,1.614719,1.987739,0.065456,53.724112
0.000000,0.000000,23.570534,0.000000,0.038983,1.397207,1.781191,0.000334,55.874541
0.000000,0.000000,28.240185,0.000000,0.039564,1.509705,1.941161,0.000268,62.961254
0.000000,0.000000,27.320783,0.000000,0.038462,1.705361,1.887937,0.000314,101.567994
0.000000,0.000000,9.069585,0.000000,0.029983,1.630447,1.966973,0.000288,16.069753
0.000000,0.000000,9.006923,0.000000,0.033738,1.687614,2.445038,0.081577,16.029958
0.000000,0.000000,10.017663,0.000000,0.032216,1.514916,2.196918,0.000392,15.901527
0.000000,0.000000,10.602951,0.000000,0.032399,1.542175,1.879503,0.000361,17.301621
0.000000,0.000000,23.257736,0.000000,0.039405,1.568918,1.950703,0.000239,39.621931
0.000000,0.000000,25.449125,0.000000,0.037563,1.533110,1.971536,0.000499,53.200568
0.000000,0.000000,20.145908,0.000000,0.039480,1.577847,1.765204,0.066540,81.972049
0.000000,0.000000,8.922853,0.000000,0.035291,1.730800,2.022982,0.000755,15.961431
0.000000,0.000000,9.051465,0.000000,0.035362,1.713191,2.081597,0.000451,13.235128
0.000000,0.000000,9.260485,0.000000,0.033718,1.573177,1.823769,0.000259,14.466350
0.000000,0.000000,9.476398,0.000000,0.033196,1.540286,2.003613,0.000225,13.421307
0.000000,0.000000,8.688680,0.000000,0.048335,1.903329,1.940500,0.068000,12.720762
0.000000,0.000000,9.420843,0.000000,0.036610,1.573613,1.944375,0.000294,14.000847
0.000000,0.000000,10.219738,0.000000,0.035081,0.027506,2.935523,0.020135,12.674609
0.000000,0.000000,15.343847,0.000000,0.048830,0.015938,2.400797,0.081012,18.596116
0.000000,0.000000,11.293651,0.000000,0.045564,0.021540,3.327841,0.024248,14.271444
0.000000,0.000000,9.253772,0.000000,0.028585,0.021300,3.350617,0.019354,11.687664
0.000000,0.000000,9.313851,0.000000,0.033899,3.831933,0.563692,0.000348,11.558201
0.000000,0.000000,22.260529,0.000000,0.035897,0.313687,0.959649,0.000374,38.952303
0.000000,0.000000,21.780267,0.000000,0.039186,0.428496,0.922470,0.000270,49.545261
0.000000,0.000000,22.137324,0.000000,0.037011,0.390203,1.155519,0.000565,49.522184
0.000000,0.000000,23.058448,0.000000,0.037220,0.347480,1.137221,0.073142,87.272331
0.000000,0.000000,9.720876,0.000000,0.030040,4.049904,2.322433,0.000584,15.343917
0.000000,0.000000,9.342780,0.000000,0.033401,0.509642,2.975812,0.000385,13.501702
0.000000,0.000000,13.339942,0.000000,0.032128,3.760501,0.589328,0.000272,17.705684
0.000000,0.000000,10.195207,0.000000,0.047415,5.352178,1.457957,0.000534,14.367982
0.000000,0.000000,9.997153,0.000000,0.034196,0.616446,1.846626,0.000357,14.563576
0.000000,0.000000,10.281885,0.000000,0.051070,0.356871,1.673755,0.000366,13.368926
0.000000,0.000000,9.851993,0.000000,0.034061,3.981079,0.965605,0.000268,12.606303
