#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
0.099961,0.043323,2.325849,0.001290,0.001290,2.471050
5.230788,0.120636,4.613447,0.308517,0.308517,16.974457
0.197389,0.014850,3.981047,0.000000,0.000000,4.193666
0.260898,0.114734,2.782346,0.001855,0.001855,3.160547
4.637833,0.242570,7.352475,0.341672,0.341672,21.028719
0.176987,0.004422,1.668004,0.000000,0.000000,1.849747
0.085109,0.036502,1.057466,0.000926,0.000926,1.180571
3.907878,0.131623,2.332834,0.228900,0.228900,10.439792
4.487177,0.092092,3.797440,0.353627,0.353627,14.163696
4.880906,0.074326,4.236560,0.589239,0.589239,17.893308
4.597508,0.094112,6.769519,0.616499,0.616499,22.674604
5.152803,0.103055,7.705710,0.820987,0.820987,28.107249
4.432526,0.113864,5.722028,1.255968,1.255968,28.078439
3.611150,0.095351,5.387886,1.182332,1.182332,27.896519
3.861144,0.073341,6.320215,54.299987,54.299987,83.849924
4.127267,0.065279,6.678286,1.913508,1.913508,32.727297
4.359659,0.056848,7.827969,2.124548,2.124548,35.887697
4.182226,0.056056,8.605552,1.648154,1.648154,42.724727
4.135982,0.076344,8.780525,1.773256,1.773256,42.511293
4.527315,0.067399,9.464573,2.029067,2.029067,49.067813
6.142398,0.064159,11.737286,2.400463,2.400463,59.159499
8.133563,0.097172,16.063274,2.445574,2.445574,67.537403
4.314384,0.062065,12.430880,2.598580,2.598580,58.651220
4.683335,0.664762,10.968501,2.966294,2.966294,61.629339
5.384292,0.062141,14.843286,3.112367,3.112367,75.006520
6.215378,0.074174,12.182051,3.847577,3.847577,73.103011
4.812240,0.092104,14.152251,4.444934,4.444934,235.087373
4.228336,0.091514,17.361471,4.063517,4.063517,85.116525
5.292866,0.084961,18.159505,3.748785,3.748785,86.126486
5.555947,0.076399,18.217891,4.165846,4.165846,87.983301
5.648740,0.118925,16.153141,3.802242,3.802242,88.616392
5.465517,0.114413,15.533940,2.737529,2.737529,83.178415
5.380611,0.153518,15.621757,1.446279,1.446279,83.185651
5.017793,0.082821,16.523262,1.026927,1.026927,81.260094
5.485692,0.076451,18.231377,0.998253,0.998253,82.869902
5.189953,0.066077,18.324799,1.022853,1.022853,80.176429
5.015521,0.051825,19.598417,1.140827,1.140827,81.243767
6.108954,0.079126,21.350467,1.140001,1.140001,85.596373
5.110549,0.069315,17.588097,1.347442,1.347442,78.526988
4.830896,0.083010,20.865391,0.749197,0.749197,47.251968
0.294997,0.012843,2.490887,0.000000,0.000000,2.799044
0.136359,0.060440,2.222899,0.001137,0.001137,2.421544
4.232884,0.147782,3.426778,0.335777,0.335777,14.192882
0.193474,0.011227,6.253791,0.000000,0.000000,6.458831
0.171712,0.068686,4.513688,0.002274,0.002274,4.757791
5.707072,0.226004,4.942705,0.386355,0.386355,18.859838
0.228877,0.014689,8.797491,0.000000,0.000000,9.041495
0.322396,0.146752,3.878873,0.002309,0.002309,4.351407
5.976276,0.270617,3.352581,0.474840,0.474840,18.549506
0.191805,0.004769,9.575094,0.000000,0.000000,9.771989
0.228733,0.107055,7.275156,0.001501,0.001501,7.613510
5.148933,0.352000,4.677017,0.435128,0.435128,18.109236
4.897096,0.149728,6.363775,0.416238,0.416238,18.422351
4.745700,0.065826,7.600012,0.579868,0.579868,21.330232
4.844656,0.086801,8.531538,0.768778,0.768778,23.476990
5.073994,0.049512,8.759823,0.744775,0.744775,24.329942
5.506726,0.063165,9.862514,1.141566,1.141566,30.568422
4.995261,0.067166,11.221984,0.488598,0.488598,29.470610
5.033630,0.103147,12.128709,42.079672,42.079672,71.822795
0.213938,0.012754,4.264920,0.000000,0.000000,4.492020
0.100784,0.039128,4.184932,0.001300,0.001300,4.326858
0.134054,0.013046,4.530523,0.000000,0.000000,4.678112
0.190546,0.080929,3.930423,0.001875,0.001875,4.204955
0.177909,0.009296,3.863965,0.000000,0.000000,4.051514
0.103849,0.041597,3.423584,0.001695,0.001695,3.571518
4.163217,0.156127,4.718811,0.281187,0.281187,15.101288
0.186299,0.017886,3.416147,0.000000,0.000000,3.620683
0.267998,0.119706,2.646834,0.001754,0.001754,3.037163
4.860032,0.288549,4.368245,0.479978,0.479978,19.279658
5.384039,0.222802,4.960834,0.659912,0.659912,23.021432
5.256284,0.161954,5.522721,0.886380,0.886380,26.276486
5.733706,0.134476,5.880017,1.193933,1.193933,32.655412
5.464799,0.138351,6.718801,1.231923,1.231923,32.938173
5.831364,0.069931,9.090413,1.399718,1.399718,36.342668
5.278637,0.071658,7.525850,1.541999,1.541999,35.987811
5.752492,0.084251,9.124893,60.068821,60.068821,97.179506
5.645650,0.101312,12.776827,2.115353,2.115353,72.402010
6.887907,0.038980,12.985615,1.914135,1.914135,55.516640
5.342377,0.088147,13.665594,1.756459,1.756459,46.477869
