ORB Extraction,Pose Prediction,LM Track,Total Tracking,Total Local Mapping
13.34439,0.15908,6.17074,24.38086,135.96577
9.20444,0.10897,4.98311,17.83598,105.33777
9.41037,0.33137,4.20041,18.21236,72.86480
9.86985,0.49050,3.73485,19.46993,55.59975
9.25920,0.09807,5.01394,17.94001,104.31597
9.28215,0.16190,4.83430,17.91668,101.75476
