ORB Extraction,Pose Prediction,LM Track,Total Tracking,Total Local Mapping
12.22850,0.46056,4.68791,23.23156,83.19419
9.58824,0.13798,4.91865,18.54768,104.51705
9.70213,0.14829,4.92434,19.00510,103.47720
9.70218,0.21305,4.64706,18.85938,87.65502
9.66825,0.13996,5.00981,18.96060,104.98354
9.46271,0.14157,4.88386,18.56409,102.69888
