ORB Extraction,Pose Prediction,LM Track,Total Tracking,Total Local Mapping
14.39727,0.10566,8.60914,26.38604,201.64235
14.46726,0.11714,8.36711,26.31578,196.08586
15.75306,0.11628,9.03776,28.61400,212.16297
9.79735,0.04723,6.91375,18.59244,162.47714
11.66462,0.13009,6.91877,23.69153,140.35726
11.69167,0.12127,6.96337,23.74930,144.44352
11.65554,0.16084,6.74666,23.62553,135.80959
69.59006,0.36756,4.49022,78.31750,426.55935
